month,region,cluster,latitude,longitude,trend_line
1,Italy,1,43.0,12.0,230.468254
1,US,1,37.0902,-95.7129,195.315545
1,Spain,2,40.0,-4.0,142.183361
1,Germany,2,51.0,9.0,123.218117
1,France,3,46.2276,2.2137,71.688013
1,Iran,3,32.0,53.0,45.591407
1,Switzerland,3,46.8182,8.2275,37.753695
1,United Kingdom,3,55.3781,-3.4360000000000004,29.159278
1,Netherlands,0,52.1326,5.2913,20.324028
1,Austria,0,47.5162,14.5501,18.547345
1,Belgium,0,50.8333,4.0,17.200328
1,Brazil,0,-14.235,-51.9253,9.232622
1,Portugal,0,39.3999,-8.2245,9.027367
1,Norway,0,60.472,8.4689,8.860701
1,Turkey,0,38.9637,35.2433,8.365627
1,Sweden,0,63.0,16.0,6.861795
1,Malaysia,0,2.5,112.5,5.896552
1,Czechia,0,49.8175,15.472999999999999,5.747674
1,Ecuador,0,-1.8312,-78.1834,5.010673
1,Ireland,0,53.1424,-7.6921,4.904762
1,Luxembourg,0,49.8153,6.1296,4.747126
1,Israel,0,31.0,35.0,4.629995
1,Denmark,0,56.2639,9.5018,4.450739
1,Pakistan,0,30.3753,69.3451,4.321839
1,New South Wales,0,-33.8688,151.2093,3.604543
1,Chile,0,-35.6751,-71.543,3.536946
1,Poland,0,51.9194,19.1451,3.363985
1,Thailand,0,15.0,101.0,3.237001
1,Finland,0,64.0,26.0,2.871100
1,Saudi Arabia,0,24.0,45.0,2.740285
1,Indonesia,0,-0.7893,113.9213,2.659004
1,Iceland,0,64.9631,-19.0208,2.629995
1,Greece,0,39.0742,21.8243,2.462507
1,British Columbia,0,49.2827,-123.1207,2.176245
1,Victoria,0,-37.8136,144.9631,2.062671
1,Romania,0,45.9432,24.9668,2.055008
1,Ontario,0,51.2538,-85.3232,1.987411
1,Peru,0,-9.19,-75.0152,1.973454
1,Russia,0,60.0,90.0,1.943350
1,India,0,21.0,78.0,1.903394
1,Panama,0,8.538,-80.7821,1.884784
1,Philippines,0,13.0,122.0,1.840449
1,Mexico,0,23.6345,-102.5528,1.725233
1,Slovenia,0,46.1512,14.9955,1.647510
1,Argentina,0,-38.4161,-63.6167,1.534209
1,South Africa,0,-30.5595,22.9375,1.482211
1,Alberta,0,53.9333,-116.5765,1.452381
1,Japan,0,36.0,138.0,1.405036
1,Singapore,0,1.2833,103.8333,1.382594
1,Croatia,0,45.1,15.2,1.372742
