month,region,cluster,latitude,longitude,trend_line
0,Korea South,3,36.0,128.0,3.7977558839627803
0,Diamond Princess,3,0.0,0.0,2.2690202517788727
0,Italy,2,43.0,12.0,1.0697865353037768
0,Japan,2,36.0,138.0,0.5519978106185002
0,Iran,1,32.0,53.0,0.28872468527640943
0,Hong Kong,0,22.3,114.2,0.06841817186644773
0,Singapore,0,1.2833,103.8333,0.037493158182813346
0,Shandong,0,36.3427,118.1498,0.035030103995621203
0,Lebanon,0,33.8547,35.8623,0.006294471811713191
0,Israel,0,31.0,35.0,0.006294471811713191
0,Egypt,0,26.0,30.0,0.0024630541871921187
0,Taiwan,0,23.7,121.0,0.0010946907498631568
0,United Arab Emirates,0,24.0,54.0,0.0002736726874657846
0,Kuwait,0,29.5,47.75,0.0
0,Moldova,0,47.4116,28.3699,0.0
0,Papua New Guinea,0,-6.315,143.9555,0.0
0,Seychelles,0,-4.6796,55.492,0.0
0,Latvia,0,56.8796,24.6032,0.0
0,Qatar,0,25.3548,51.1839,0.0
0,Jordan,0,31.24,36.51,0.0
0,Mongolia,0,46.8625,103.8467,0.0
0,Zambia,0,-15.4167,28.2833,0.0
0,Saint Lucia,0,13.9094,-60.9789,0.0
0,Liberia,0,6.4281,-9.4295,0.0
0,Lithuania,0,55.1694,23.8813,0.0
0,Madagascar,0,-18.7669,46.8691,0.0
0,Malta,0,35.9375,14.3754,0.0
0,Romania,0,45.9432,24.9668,0.0
0,Ireland,0,53.1424,-7.6921,0.0
0,Morocco,0,31.7917,-7.0926,0.0
0,Rwanda,0,-1.9403,29.8739,0.0
0,Curacao,0,12.1696,-68.99,0.0
0,Netherlands,0,52.1326,5.2913,0.0
0,Nicaragua,0,12.8654,-85.2072,0.0
0,Saint Vincent and the Grenadines,0,12.9843,-61.2872,0.0
0,Niger,0,17.6078,8.0817,0.0
0,San Marino,0,43.9424,12.4578,0.0
0,Saudi Arabia,0,24.0,45.0,0.0
0,Senegal,0,14.4974,-14.4524,0.0
0,Mauritius,0,-20.2,57.5,0.0
0,Serbia,0,44.0165,21.0059,0.0
0,Slovakia,0,48.669,19.699,0.0
0,Nepal,0,28.1667,84.25,0.0
0,Slovenia,0,46.1512,14.9955,0.0
0,Somalia,0,5.1521,46.1996,0.0
0,South Africa,0,-30.5595,22.9375,0.0
0,Sint Maarten,0,18.0425,-63.0548,0.0
0,New Zealand,0,-40.9006,174.886,0.0
0,North Macedonia,0,41.6086,21.7453,0.0
0,Oman,0,21.0,57.0,0.0
